,population_id,park_name,pop_name,pop_date,population_no,park_add
47,48,MCP,Rusa alfredi (Visayan Spotted Deer),2017-04-03,16,"Jayubo, Lambunao, Iloilo"
48,49,MCP,Aceros waldeni (Visayan Writhed Hornbill),2017-05-02,9,"Jayubo, Lambunao, Iloilo"
49,50,MCP,Sus cebifrons (Visayan Warty Pig),2017-05-02,14,"Jayubo, Lambunao, Iloilo"
50,51,MCP,Rusa alfredi (Visayan Spotted Deer),2017-05-02,16,"Jayubo, Lambunao, Iloilo"
51,52,MCP,Aceros waldeni (Visayan Writhed Hornbill),2017-06-05,10,"Jayubo, Lambunao, Iloilo"
52,53,MCP,Sus cebifrons (Visayan Warty Pig),2017-06-05,14,"Jayubo, Lambunao, Iloilo"
53,54,MCP,Rusa alfredi (Visayan Spotted Deer),2017-06-05,15,"Jayubo, Lambunao, Iloilo"
54,55,MCP,Aceros waldeni (Visayan Writhed Hornbill),2017-07-03,10,"Jayubo, Lambunao, Iloilo"
55,56,MCP,Sus cebifrons (Visayan Warty Pig),2017-07-03,14,"Jayubo, Lambunao, Iloilo"
56,57,MCP,Rusa alfredi (Visayan Spotted Deer),2017-07-03,15,"Jayubo, Lambunao, Iloilo"
57,58,MCP,Aceros waldeni (Visayan Writhed Hornbill),2017-08-07,9,"Jayubo, Lambunao, Iloilo"
58,59,MCP,Sus cebifrons (Visayan Warty Pig),2017-08-07,14,"Jayubo, Lambunao, Iloilo"
59,60,MCP,Rusa alfredi (Visayan Spotted Deer),2017-08-07,15,"Jayubo, Lambunao, Iloilo"
60,61,MCP,Aceros waldeni (Visayan Writhed Hornbill),2017-09-04,9,"Jayubo, Lambunao, Iloilo"
61,62,MCP,Sus cebifrons (Visayan Warty Pig),2017-09-04,14,"Jayubo, Lambunao, Iloilo"
62,63,MCP,Rusa alfredi (Visayan Spotted Deer),2017-09-04,15,"Jayubo, Lambunao, Iloilo"
63,64,MCP,Aceros waldeni (Visayan Writhed Hornbill),2017-10-02,9,"Jayubo, Lambunao, Iloilo"
64,65,MCP,Sus cebifrons (Visayan Warty Pig),2017-10-02,12,"Jayubo, Lambunao, Iloilo"
65,66,MCP,Rusa alfredi (Visayan Spotted Deer),2017-10-02,15,"Jayubo, Lambunao, Iloilo"
66,67,MCP,Aceros waldeni (Visayan Writhed Hornbill),2017-11-06,8,"Jayubo, Lambunao, Iloilo"
67,68,MCP,Sus cebifrons (Visayan Warty Pig),2017-11-06,12,"Jayubo, Lambunao, Iloilo"
68,69,MCP,Rusa alfredi (Visayan Spotted Deer),2017-11-06,14,"Jayubo, Lambunao, Iloilo"
69,70,MCP,Aceros waldeni (Visayan Writhed Hornbill),2017-12-04,8,"Jayubo, Lambunao, Iloilo"
70,71,MCP,Sus cebifrons (Visayan Warty Pig),2017-12-04,12,"Jayubo, Lambunao, Iloilo"
71,72,MCP,Rusa alfredi (Visayan Spotted Deer),2017-12-04,14,"Jayubo, Lambunao, Iloilo"
72,73,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-01-03,8,"Jayubo, Lambunao, Iloilo"
73,74,MCP,Sus cebifrons (Visayan Warty Pig),2018-01-03,12,"Jayubo, Lambunao, Iloilo"
74,75,MCP,Rusa alfredi (Visayan Spotted Deer),2018-01-03,14,"Jayubo, Lambunao, Iloilo"
75,76,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-02-05,9,"Jayubo, Lambunao, Iloilo"
76,77,MCP,Sus cebifrons (Visayan Warty Pig),2018-02-05,12,"Jayubo, Lambunao, Iloilo"
77,78,MCP,Rusa alfredi (Visayan Spotted Deer),2018-02-05,14,"Jayubo, Lambunao, Iloilo"
78,79,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-03-05,9,"Jayubo, Lambunao, Iloilo"
79,80,MCP,Sus cebifrons (Visayan Warty Pig),2018-03-05,16,"Jayubo, Lambunao, Iloilo"
80,81,MCP,Rusa alfredi (Visayan Spotted Deer),2018-03-05,16,"Jayubo, Lambunao, Iloilo"
81,83,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-04-02,10,"Jayubo, Lambunao, Iloilo"
82,84,MCP,Sus cebifrons (Visayan Warty Pig),2018-04-02,16,"Jayubo, Lambunao, Iloilo"
83,85,MCP,Rusa alfredi (Visayan Spotted Deer),2018-04-02,16,"Jayubo, Lambunao, Iloilo"
84,86,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-05-07,10,"Jayubo, Lambunao, Iloilo"
85,87,MCP,Sus cebifrons (Visayan Warty Pig),2018-05-07,16,"Jayubo, Lambunao, Iloilo"
86,88,MCP,Rusa alfredi (Visayan Spotted Deer),2018-05-07,16,"Jayubo, Lambunao, Iloilo"
87,89,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-06-04,10,"Jayubo, Lambunao, Iloilo"
88,90,MCP,Sus cebifrons (Visayan Warty Pig),2018-06-04,16,"Jayubo, Lambunao, Iloilo"
89,91,MCP,Rusa alfredi (Visayan Spotted Deer),2018-06-04,16,"Jayubo, Lambunao, Iloilo"
90,92,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-07-02,11,"Jayubo, Lambunao, Iloilo"
91,93,MCP,Sus cebifrons (Visayan Warty Pig),2018-07-02,15,"Jayubo, Lambunao, Iloilo"
92,94,MCP,Rusa alfredi (Visayan Spotted Deer),2018-07-02,15,"Jayubo, Lambunao, Iloilo"
93,95,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-08-06,11,"Jayubo, Lambunao, Iloilo"
94,96,MCP,Sus cebifrons (Visayan Warty Pig),2018-08-06,14,"Jayubo, Lambunao, Iloilo"
95,97,MCP,Rusa alfredi (Visayan Spotted Deer),2018-08-06,15,"Jayubo, Lambunao, Iloilo"
96,98,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-09-03,11,"Jayubo, Lambunao, Iloilo"
97,99,MCP,Sus cebifrons (Visayan Warty Pig),2018-09-03,14,"Jayubo, Lambunao, Iloilo"
98,101,MCP,Rusa alfredi (Visayan Spotted Deer),2018-09-03,15,"Jayubo, Lambunao, Iloilo"
99,102,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-10-01,10,"Jayubo, Lambunao, Iloilo"
100,103,MCP,Sus cebifrons (Visayan Warty Pig),2018-10-01,14,"Jayubo, Lambunao, Iloilo"
101,104,MCP,Rusa alfredi (Visayan Spotted Deer),2018-10-01,15,"Jayubo, Lambunao, Iloilo"
102,105,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-11-05,10,"Jayubo, Lambunao, Iloilo"
103,106,MCP,Sus cebifrons (Visayan Warty Pig),2018-11-05,14,"Jayubo, Lambunao, Iloilo"
104,107,MCP,Rusa alfredi (Visayan Spotted Deer),2018-11-05,14,"Jayubo, Lambunao, Iloilo"
105,108,MCP,Aceros waldeni (Visayan Writhed Hornbill),2018-12-07,10,"Jayubo, Lambunao, Iloilo"
106,109,MCP,Sus cebifrons (Visayan Warty Pig),2018-12-07,14,"Jayubo, Lambunao, Iloilo"
107,110,MCP,Rusa alfredi (Visayan Spotted Deer),2018-12-07,14,"Jayubo, Lambunao, Iloilo"
108,111,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-01-07,11,"Jayubo, Lambunao, Iloilo"
109,112,MCP,Sus cebifrons (Visayan Warty Pig),2019-01-07,15,"Jayubo, Lambunao, Iloilo"
110,113,MCP,Rusa alfredi (Visayan Spotted Deer),2019-01-07,15,"Jayubo, Lambunao, Iloilo"
111,114,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-02-04,11,"Jayubo, Lambunao, Iloilo"
112,115,MCP,Sus cebifrons (Visayan Warty Pig),2019-02-04,15,"Jayubo, Lambunao, Iloilo"
113,116,MCP,Rusa alfredi (Visayan Spotted Deer),2019-02-04,16,"Jayubo, Lambunao, Iloilo"
114,117,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-03-04,11,"Jayubo, Lambunao, Iloilo"
115,118,MCP,Sus cebifrons (Visayan Warty Pig),2019-03-04,15,"Jayubo, Lambunao, Iloilo"
116,119,MCP,Rusa alfredi (Visayan Spotted Deer),2019-03-04,17,"Jayubo, Lambunao, Iloilo"
117,120,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-04-01,12,"Jayubo, Lambunao, Iloilo"
118,121,MCP,Sus cebifrons (Visayan Warty Pig),2019-04-01,15,"Jayubo, Lambunao, Iloilo"
119,122,MCP,Rusa alfredi (Visayan Spotted Deer),2019-04-01,17,"Jayubo, Lambunao, Iloilo"
120,123,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-05-06,12,"Jayubo, Lambunao, Iloilo"
121,125,MCP,Rusa alfredi (Visayan Spotted Deer),2019-05-06,17,"Jayubo, Lambunao, Iloilo"
122,126,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-06-03,12,"Jayubo, Lambunao, Iloilo"
123,127,MCP,Sus cebifrons (Visayan Warty Pig),2019-06-03,14,"Jayubo, Lambunao, Iloilo"
124,128,MCP,Rusa alfredi (Visayan Spotted Deer),2019-06-03,17,"Jayubo, Lambunao, Iloilo"
125,129,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-07-01,11,"Jayubo, Lambunao, Iloilo"
126,130,MCP,Sus cebifrons (Visayan Warty Pig),2019-07-01,14,"Jayubo, Lambunao, Iloilo"
127,131,MCP,Rusa alfredi (Visayan Spotted Deer),2019-07-01,17,"Jayubo, Lambunao, Iloilo"
128,132,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-08-05,11,"Jayubo, Lambunao, Iloilo"
129,133,MCP,Sus cebifrons (Visayan Warty Pig),2019-08-05,14,"Jayubo, Lambunao, Iloilo"
130,134,MCP,Rusa alfredi (Visayan Spotted Deer),2019-08-05,16,"Jayubo, Lambunao, Iloilo"
131,135,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-09-02,11,"Jayubo, Lambunao, Iloilo"
132,136,MCP,Sus cebifrons (Visayan Warty Pig),2019-09-02,14,"Jayubo, Lambunao, Iloilo"
133,137,MCP,Rusa alfredi (Visayan Spotted Deer),2019-09-02,16,"Jayubo, Lambunao, Iloilo"
134,138,MCP,Sus cebifrons (Visayan Warty Pig),2019-10-07,14,"Jayubo, Lambunao, Iloilo"
135,139,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-10-07,10,"Jayubo, Lambunao, Iloilo"
136,140,MCP,Rusa alfredi (Visayan Spotted Deer),2019-10-07,16,"Jayubo, Lambunao, Iloilo"
137,141,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-11-04,12,"Jayubo, Lambunao, Iloilo"
138,142,MCP,Sus cebifrons (Visayan Warty Pig),2019-11-04,13,"Jayubo, Lambunao, Iloilo"
139,143,MCP,Rusa alfredi (Visayan Spotted Deer),2019-11-04,15,"Jayubo, Lambunao, Iloilo"
140,144,MCP,Aceros waldeni (Visayan Writhed Hornbill),2019-12-02,12,"Jayubo, Lambunao, Iloilo"
141,145,MCP,Sus cebifrons (Visayan Warty Pig),2019-12-02,13,"Jayubo, Lambunao, Iloilo"
142,146,MCP,Rusa alfredi (Visayan Spotted Deer),2019-12-02,15,"Jayubo, Lambunao, Iloilo"
143,147,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-01-06,11,"Jayubo, Lambunao, Iloilo"
144,148,MCP,Sus cebifrons (Visayan Warty Pig),2020-01-06,13,"Jayubo, Lambunao, Iloilo"
145,149,MCP,Rusa alfredi (Visayan Spotted Deer),2020-01-06,15,"Jayubo, Lambunao, Iloilo"
146,150,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-02-03,11,"Jayubo, Lambunao, Iloilo"
147,151,MCP,Sus cebifrons (Visayan Warty Pig),2020-02-03,13,"Jayubo, Lambunao, Iloilo"
148,152,MCP,Rusa alfredi (Visayan Spotted Deer),2020-02-03,16,"Jayubo, Lambunao, Iloilo"
149,153,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-03-02,11,"Jayubo, Lambunao, Iloilo"
150,154,MCP,Sus cebifrons (Visayan Warty Pig),2020-03-02,15,"Jayubo, Lambunao, Iloilo"
151,155,MCP,Rusa alfredi (Visayan Spotted Deer),2020-03-02,17,"Jayubo, Lambunao, Iloilo"
152,156,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-04-06,12,"Jayubo, Lambunao, Iloilo"
153,157,MCP,Sus cebifrons (Visayan Warty Pig),2020-04-06,15,"Jayubo, Lambunao, Iloilo"
154,158,MCP,Rusa alfredi (Visayan Spotted Deer),2020-04-06,18,"Jayubo, Lambunao, Iloilo"
155,159,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-05-04,12,"Jayubo, Lambunao, Iloilo"
156,160,MCP,Sus cebifrons (Visayan Warty Pig),2020-05-04,15,"Jayubo, Lambunao, Iloilo"
157,161,MCP,Rusa alfredi (Visayan Spotted Deer),2020-05-04,18,"Jayubo, Lambunao, Iloilo"
158,162,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-06-01,12,"Jayubo, Lambunao, Iloilo"
159,163,MCP,Sus cebifrons (Visayan Warty Pig),2020-06-01,15,"Jayubo, Lambunao, Iloilo"
160,165,MCP,Aceros waldeni (Visayan Writhed Hornbill),2020-07-06,11,"Jayubo, Lambunao, Iloilo"
