,report_id,species_name,date_report,location,site,no_observation,mode_observation,threats,remarks,name_observers,coordinates_lat,coordinates_lng
385,387,Raflesia speciosa (Panay Rafflesia),2020-01-06,"Sibalom, Antique",Brgy. Imparayan,22,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.787313,122.104684
386,388,Aceros waldeni (Visayan Writhed Hornbill),2020-01-20,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",11,Seen,Hunting,Seen at BMS site,IP leaders,10.802554,122.143546
387,389,Aceros waldeni (Visayan Writhed Hornbill),2020-01-07,"Madalag, Aklan",Brgy. Maria Cristina,12,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.485347,122.212474
388,390,Rusa alfredi (Visayan Spotted Deer),2020-01-13,"Ibajay, Aklan",Brgy. Capataga,20,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.809419,122.174425
389,391,Sus cebifrons (Visayan Warty Pig),2020-01-21,"Malinao, Aklan",Brgy. Aparicio,12,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.642556,122.207893
390,392,Aceros waldeni (Visayan Writhed Hornbill),2020-01-08,"Lambunao, Iloilo",Brgy. Jayubo,13,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.100152,122.419854
391,393,Rusa alfredi (Visayan Spotted Deer),2020-01-13,"Lambunao, Iloilo",Brgy. Cabatangan,15,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.089166,122.358371
392,394,Sus cebifrons (Visayan Warty Pig),2020-01-21,"Lambunao, Iloilo",Brgy. Jayubo,15,Heard & Seen,Loss of Habitat,Seen in the area of Jayubo,Bantay Gubat,11.0,122.31705
393,395,Raflesia speciosa (Panay Rafflesia),2020-02-03,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",18,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.803076,122.143543
394,396,Aceros waldeni (Visayan Writhed Hornbill),2020-02-17,"Sibalom, Antique",Brgy. Imparayan,11,Seen,Hunting,Seen at the tree tops,Cenro Staff,10.794471,122.111222
395,397,Aceros waldeni (Visayan Writhed Hornbill),2020-02-04,"Madalag, Aklan",Brgy. Maria Cristina,12,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.479627,122.201488
396,398,Rusa alfredi (Visayan Spotted Deer),2020-02-10,"Ibajay, Aklan",Brgy. Capataga,11,Seen,Hunting,Seen at BMS site,IP leaders,11.808035,122.17361
397,399,Sus cebifrons (Visayan Warty Pig),2020-02-17,"Malinao, Aklan",Brgy. Aparicio,16,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.644364,122.305963
398,400,Aceros waldeni (Visayan Writhed Hornbill),2020-02-05,"Lambunao, Iloilo",Brgy. Cabatangan,13,Heard & Seen,Hunting,Seen at the tree tops,Cenro Staff,11.087314,122.359154
399,401,Rusa alfredi (Visayan Spotted Deer),2020-02-11,"Lambunao, Iloilo",Brgy. Jayubo,18,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.10154,122.405828
400,402,Sus cebifrons (Visayan Warty Pig),2020-02-18,"Lambunao, Iloilo",Brgy. Cabatangan,13,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.18639,122.358478
401,403,Raflesia speciosa (Panay Rafflesia),2020-03-02,"Sibalom, Antique",Brgy. Imparayan,27,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.791514,122.104179
402,404,Aceros waldeni (Visayan Writhed Hornbill),2020-03-16,"Sibalom, Antique",Brgy. Imparayan,14,Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,10.791541,122.107134
403,405,Aceros waldeni (Visayan Writhed Hornbill),2020-03-10,"Madalag, Aklan",Brgy. Maria Cristina,16,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.52774,122.222129
404,406,Rusa alfredi (Visayan Spotted Deer),2020-03-16,"Ibajay, Aklan",Brgy. Capataga,12,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.807109,122.17393
405,407,Sus cebifrons (Visayan Warty Pig),2020-03-23,"Malinao, Aklan",Brgy. Aparicio,11,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.642976,122.304498
406,408,Aceros waldeni (Visayan Writhed Hornbill),2020-03-11,"Lambunao, Iloilo",Brgy. Jayubo,12,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.101224,122.407434
407,409,Rusa alfredi (Visayan Spotted Deer),2020-03-17,"Lambunao, Iloilo",Brgy. Cabatangan,15,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.088848,122.356588
408,410,Sus cebifrons (Visayan Warty Pig),2020-03-24,"Lambunao, Iloilo",Brgy. Jayubo,10,Heard & Seen,Loss of Habitat,Seen in the area of Jayubo,Bantay Gubat,11.103672,122.405888
409,411,Raflesia speciosa (Panay Rafflesia),2020-04-06,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",26,Seen,Loss of Habitat,Seen at BMS site,Cenro Staff,10.804935,122.14294
410,412,Aceros waldeni (Visayan Writhed Hornbill),2020-04-20,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",11,Seen,Hunting,Seen at the forest edges,Bantay Gubat,10.803803,122.143134
411,413,Aceros waldeni (Visayan Writhed Hornbill),2020-04-14,"Madalag, Aklan",Brgy. Maria Cristina,12,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.51664,122.224496
412,414,Rusa alfredi (Visayan Spotted Deer),2020-04-20,"Ibajay, Aklan",Brgy. Capataga,13,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.805742,122.175045
413,415,Sus cebifrons (Visayan Warty Pig),2020-04-27,"Malinao, Aklan",Brgy. Aparicio,7,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.642346,122.314913
414,416,Aceros waldeni (Visayan Writhed Hornbill),2020-04-15,"Lambunao, Iloilo",Brgy. Cabatangan,12,Heard & Seen,Hunting,Seen at the tree tops,Cenro Staff,11.086727,122.356588
415,417,Rusa alfredi (Visayan Spotted Deer),2020-04-21,"Lambunao, Iloilo",Brgy. Jayubo,17,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.104009,122.404857
416,418,Sus cebifrons (Visayan Warty Pig),2020-04-28,"Lambunao, Iloilo",Brgy. Cabatangan,8,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.089353,122.354441
417,419,Raflesia speciosa (Panay Rafflesia),2020-05-04,"Sibalom, Antique",Brgy. Imparayan,16,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.793396,122.111006
418,420,Aceros waldeni (Visayan Writhed Hornbill),2020-05-18,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",13,Seen,Hunting,Seen at BMS site,Cenro Staff,10.81317,122.143649
419,421,Aceros waldeni (Visayan Writhed Hornbill),2020-05-05,"Madalag, Aklan",Brgy. Maria Cristina,13,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.512265,122.224838
420,422,Rusa alfredi (Visayan Spotted Deer),2020-05-11,"Ibajay, Aklan",Brgy. Capataga,11,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.806078,122.171759
421,423,Sus cebifrons (Visayan Warty Pig),2020-05-18,"Malinao, Aklan",Brgy. Aparicio,6,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.641618,122.304315
422,424,Aceros waldeni (Visayan Writhed Hornbill),2020-05-06,"Lambunao, Iloilo",Brgy. Jayubo,12,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.103835,122.405355
423,425,Rusa alfredi (Visayan Spotted Deer),2020-05-12,"Lambunao, Iloilo",Brgy. Cabatangan,19,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.091032,122.355725
424,426,Sus cebifrons (Visayan Warty Pig),2020-05-19,"Lambunao, Iloilo",Brgy. Jayubo,8,Heard & Seen,Loss of Habitat,seen at the area of cabatangan,Bantay Gubat,11.103485,122.403999
425,427,Raflesia speciosa (Panay Rafflesia),2020-06-01,"Sibalom, Antique",Brgy. Imparayan,27,Seen,Loss of Habitat,Seen at BMS site,IP leaders,10.78731,122.104683
426,428,Aceros waldeni (Visayan Writhed Hornbill),2020-06-15,"Sibalom, Antique",Brgy. Imparayan,15,Seen,Hunting,Seen at the tree tops,Bantay Gubat,10.794477,122.111126
427,429,Aceros waldeni (Visayan Writhed Hornbill),2020-06-09,"Madalag, Aklan",Brgy. Maria Cristina,14,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.50823,122.22724
428,430,Rusa alfredi (Visayan Spotted Deer),2020-06-16,"Ibajay, Aklan",Brgy. Capataga,14,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.806036,122.169763
429,431,Sus cebifrons (Visayan Warty Pig),2020-06-22,"Malinao, Aklan",Brgy. Aparicio,9,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.642796,122.304146
430,432,Aceros waldeni (Visayan Writhed Hornbill),2020-06-10,"Lambunao, Iloilo",Brgy. Cabatangan,15,Heard & Seen,Hunting,Seen at the tree tops,Cenro Staff,11.091446,122.353914
431,433,Rusa alfredi (Visayan Spotted Deer),2020-06-17,"Lambunao, Iloilo",Brgy. Jayubo,23,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.103823,122.402692
432,434,Sus cebifrons (Visayan Warty Pig),2020-06-23,"Lambunao, Iloilo",Brgy. Cabatangan,10,Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.089596,122.354165
433,435,Raflesia speciosa (Panay Rafflesia),2020-07-06,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",23,Seen,Loss of Habitat,Seen at BMS site,Cenro Staff,10.803938,122.142847
434,436,Aceros waldeni (Visayan Writhed Hornbill),2020-07-20,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",17,Seen,Hunting,Seen at BMS site,IP leaders,10.803975,122.143202
435,437,Aceros waldeni (Visayan Writhed Hornbill),2020-07-07,"Madalag, Aklan",Brgy. Maria Cristina,18,Seen,Hunting,Seen at the forest edges,Cenro Staff,11.513947,122.214195
436,438,Rusa alfredi (Visayan Spotted Deer),2020-07-13,"Ibajay, Aklan",Brgy. Capataga,11,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.808304,122.170149
437,439,Sus cebifrons (Visayan Warty Pig),2020-07-21,"Malinao, Aklan",Brgy. Aparicio,10,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.641655,122.304015
438,440,Aceros waldeni (Visayan Writhed Hornbill),2020-07-08,"Lambunao, Iloilo",Brgy. Jayubo,19,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.103745,122.401157
439,441,Rusa alfredi (Visayan Spotted Deer),2020-07-14,"Lambunao, Iloilo",Brgy. Cabatangan,22,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.089425,122.353223
440,442,Sus cebifrons (Visayan Warty Pig),2020-07-22,"Lambunao, Iloilo",Brgy. Jayubo,7,Heard & Seen,Loss of Habitat,seen at the area of cabatangan,Bantay Gubat,11.101806,122.406066
441,443,Raflesia speciosa (Panay Rafflesia),2020-08-06,"Sibalom, Antique",Brgy. Imparayan,25,Seen,Loss of Habitat,Seen at BMS site,IP leaders,10.790511,122.104073
442,444,Aceros waldeni (Visayan Writhed Hornbill),2020-08-20,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",24,Seen,Hunting,Seen at the tree tops,Cenro Staff,10.803264,122.144554
443,445,Aceros waldeni (Visayan Writhed Hornbill),2020-08-04,"Madalag, Aklan",Brgy. Maria Cristina,16,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.51664,122.20664
444,446,Rusa alfredi (Visayan Spotted Deer),2020-08-17,"Ibajay, Aklan",Brgy. Capataga,12,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.807905,122.170836
445,447,Sus cebifrons (Visayan Warty Pig),2020-08-24,"Malinao, Aklan",Brgy. Aparicio,8,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.642795,122.305253
446,448,Aceros waldeni (Visayan Writhed Hornbill),2020-08-05,"Lambunao, Iloilo",Brgy. Cabatangan,24,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.086396,122.354424
447,449,Rusa alfredi (Visayan Spotted Deer),2020-08-18,"Lambunao, Iloilo",Brgy. Jayubo,20,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.100543,122.402864
448,450,Sus cebifrons (Visayan Warty Pig),2020-08-25,"Lambunao, Iloilo",Brgy. Cabatangan,6,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.085717,122.354859
449,451,Raflesia speciosa (Panay Rafflesia),2020-09-03,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",24,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.803937,122.14284
450,452,Aceros waldeni (Visayan Writhed Hornbill),2020-09-17,"Sibalom, Antique",Brgy. Imparayan,25,Seen,Loss of Habitat,Seen at the forest edges,Bantay Gubat,10.791446,122.100071
451,453,Aceros waldeni (Visayan Writhed Hornbill),2020-09-15,"Madalag, Aklan",Brgy. Maria Cristina,22,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.512937,122.2128
452,454,Rusa alfredi (Visayan Spotted Deer),2020-09-21,"Ibajay, Aklan",Brgy. Capataga,10,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.805742,122.173864
453,455,Sus cebifrons (Visayan Warty Pig),2020-09-28,"Malinao, Aklan",Brgy. Aparicio,5,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.642965,122.304265
454,456,Aceros waldeni (Visayan Writhed Hornbill),2020-09-16,"Lambunao, Iloilo",Brgy. Jayubo,23,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.100203,122.403812
455,457,Rusa alfredi (Visayan Spotted Deer),2020-09-21,"Lambunao, Iloilo",Brgy. Cabatangan,22,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.084534,122.354945
456,458,Sus cebifrons (Visayan Warty Pig),2020-09-28,"Lambunao, Iloilo",Brgy. Jayubo,9,Heard & Seen,Loss of Habitat,seen at the area of cabatangan,Bantay Gubat,11.099784,122.401156
457,459,Raflesia speciosa (Panay Rafflesia),2020-10-05,"Sibalom, Antique",Brgy. Imparayan,22,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.793294,122.110009
458,460,Aceros waldeni (Visayan Writhed Hornbill),2020-10-19,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",17,Seen,Hunting,Seen at BMS site,Cenro Staff,10.80347,122.142322
459,461,Aceros waldeni (Visayan Writhed Hornbill),2020-10-06,"Madalag, Aklan",Brgy. Maria Cristina,15,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.516975,122.20252
460,462,Rusa alfredi (Visayan Spotted Deer),2020-10-12,"Ibajay, Aklan",Brgy. Capataga,22,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.805091,122.175238
461,463,Sus cebifrons (Visayan Warty Pig),2020-10-20,"Malinao, Aklan",Brgy. Aparicio,7,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.641911,122.304147
462,464,Aceros waldeni (Visayan Writhed Hornbill),2020-10-08,"Lambunao, Iloilo",Brgy. Cabatangan,13,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.084114,122.354253
463,465,Rusa alfredi (Visayan Spotted Deer),2020-10-13,"Lambunao, Iloilo",Brgy. Jayubo,23,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.099364,122.402613
464,466,Sus cebifrons (Visayan Warty Pig),2020-10-21,"Lambunao, Iloilo",Brgy. Cabatangan,8,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.089596,122.344373
465,467,Raflesia speciosa (Panay Rafflesia),2020-11-09,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",24,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.803934,122.142845
466,468,Aceros waldeni (Visayan Writhed Hornbill),2020-11-23,"Sibalom, Antique",Brgy. Imparayan,7,Seen,Hunting,Seen at the tree tops,Bantay Gubat,10.787311,122.104681
467,469,Aceros waldeni (Visayan Writhed Hornbill),2020-11-10,"Madalag, Aklan",Brgy. Maria Cristina,8,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.520671,122.199088
468,470,Rusa alfredi (Visayan Spotted Deer),2020-11-16,"Ibajay, Aklan",Brgy. Capataga,26,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.805006,122.17629
469,471,Aceros waldeni (Visayan Writhed Hornbill),2020-11-24,"Malinao, Aklan",Brgy. Aparicio,9,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.641024,122.307105
470,472,Aceros waldeni (Visayan Writhed Hornbill),2020-11-11,"Lambunao, Iloilo",Brgy. Jayubo,11,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.100544,122.400124
471,473,Rusa alfredi (Visayan Spotted Deer),2020-11-17,"Lambunao, Iloilo",Brgy. Cabatangan,20,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.089842,122.342914
472,474,Sus cebifrons (Visayan Warty Pig),2020-11-24,"Lambunao, Iloilo",Brgy. Jayubo,8,Heard & Seen,Loss of Habitat,seen at the area of cabatangan,Bantay Gubat,11.095485,122.399515
473,475,Raflesia speciosa (Panay Rafflesia),2020-12-07,"Sibalom, Antique",Brgy. Imparayan,21,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.793293,122.110003
474,476,Aceros waldeni (Visayan Writhed Hornbill),2020-12-21,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",10,Heard & Seen,Hunting,Seen at the tree tops,Bantay Gubat,10.803701,122.143031
475,477,Aceros waldeni (Visayan Writhed Hornbill),2020-12-08,"Madalag, Aklan",Brgy. Maria Cristina,8,Heard & Seen,Hunting,Seen at the tree tops,Cenro Staff,11.513947,122.202866
476,478,Rusa alfredi (Visayan Spotted Deer),2020-12-14,"Ibajay, Aklan",Brgy. Capataga,23,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.805385,122.177128
477,479,Sus cebifrons (Visayan Warty Pig),2020-12-20,"Malinao, Aklan",Brgy. Aparicio,7,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.641228,122.30633
478,480,Aceros waldeni (Visayan Writhed Hornbill),2020-12-09,"Lambunao, Iloilo",Brgy. Cabatangan,9,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.089334,122.341194
479,481,Rusa alfredi (Visayan Spotted Deer),2020-12-15,"Lambunao, Iloilo",Brgy. Jayubo,22,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.106945,122.402691
480,482,Sus cebifrons (Visayan Warty Pig),2020-12-21,"Lambunao, Iloilo",Brgy. Cabatangan,7,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.091784,122.343089
481,483,Aceros waldeni (Visayan Writhed Hornbill),2021-01-08,"Madalag, Aklan",Brgy. Maria Cristina,10,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.50789,122.23308
482,484,Rusa alfredi (Visayan Spotted Deer),2021-01-15,"Ibajay, Aklan",Brgy. Capataga,14,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.804502,122.177192
483,485,Sus cebifrons (Visayan Warty Pig),2021-01-22,"Malinao, Aklan",Brgy. Aparicio,12,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.644346,122.305895
484,486,Aceros waldeni (Visayan Writhed Hornbill),2021-01-09,"Lambunao, Iloilo",Brgy. Jayubo,12,Heard & Seen,Loss of Habitat,Seen flying at the tree tops,Cenro Staff,11.100151,122.419856
485,487,Rusa alfredi (Visayan Spotted Deer),2021-01-16,"Lambunao, Iloilo",Brgy. Cabatangan,12,Heard & Seen,Hunting,seen at the area of cabatangan,IP leaders,11.089165,122.358377
486,488,Sus cebifrons (Visayan Warty Pig),2021-01-23,"Lambunao, Iloilo",Brgy. Jayubo,15,Heard & Seen,Loss of Habitat,Seen in the area of Jayubo,Bantay Gubat,11.101632,122.409651
487,489,Aceros waldeni (Visayan Writhed Hornbill),2021-02-06,"Madalag, Aklan",Brgy. Maria Cristina,13,Heard & Seen,Hunting,Seen at the tree tops,Cenro Staff,11.50318,122.232732
488,490,Rusa alfredi (Visayan Spotted Deer),2021-02-12,"Ibajay, Aklan",Brgy. Capataga,14,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.803914,122.175775
489,491,Sus cebifrons (Visayan Warty Pig),2021-02-18,"Malinao, Aklan",Brgy. Aparicio,14,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.644366,122.305967
490,492,Aceros waldeni (Visayan Writhed Hornbill),2021-02-07,"Lambunao, Iloilo",Brgy. Cabatangan,11,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.087313,122.359155
491,493,Rusa alfredi (Visayan Spotted Deer),2021-02-13,"Lambunao, Iloilo",Brgy. Jayubo,13,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.10054,122.405823
492,494,Sus cebifrons (Visayan Warty Pig),2021-02-19,"Lambunao, Iloilo",Brgy. Cabatangan,13,Heard & Seen,Hunting,Seen in the area of Jayubo,Bantay Gubat,11.086396,122.358378
493,495,Aceros waldeni (Visayan Writhed Hornbill),2021-03-11,"Madalag, Aklan",Brgy. Maria Cristina,14,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.498135,122.236165
494,496,Rusa alfredi (Visayan Spotted Deer),2021-03-17,"Ibajay, Aklan",Brgy. Capataga,13,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.80341,122.174787
495,497,Sus cebifrons (Visayan Warty Pig),2021-03-24,"Malinao, Aklan",Brgy. Aparicio,12,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.642776,122.304398
496,498,Aceros waldeni (Visayan Writhed Hornbill),2021-03-12,"Lambunao, Iloilo",Brgy. Jayubo,15,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.102221,122.407331
497,499,Rusa alfredi (Visayan Spotted Deer),2021-03-18,"Lambunao, Iloilo",Brgy. Cabatangan,12,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.088745,122.356482
498,500,Sus cebifrons (Visayan Warty Pig),2021-03-25,"Lambunao, Iloilo",Brgy. Jayubo,11,Heard & Seen,Loss of Habitat,Seen in the area of Jayubo,Bantay Gubat,11.103575,122.405784
499,501,Aceros waldeni (Visayan Writhed Hornbill),2021-04-15,"Madalag, Aklan",Brgy. Maria Cristina,14,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.48905,122.237885
500,502,Rusa alfredi (Visayan Spotted Deer),2021-04-21,"Ibajay, Aklan",Brgy. Capataga,13,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.803872,122.172683
501,503,Sus cebifrons (Visayan Warty Pig),2021-04-28,"Malinao, Aklan",Brgy. Aparicio,6,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.642243,122.304911
502,504,Aceros waldeni (Visayan Writhed Hornbill),2021-04-16,"Lambunao, Iloilo",Brgy. Cabatangan,15,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.086724,122.356487
503,505,Rusa alfredi (Visayan Spotted Deer),2021-04-22,"Lambunao, Iloilo",Brgy. Jayubo,11,Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.103906,122.404759
504,506,Sus cebifrons (Visayan Warty Pig),2021-04-29,"Lambunao, Iloilo",Brgy. Cabatangan,7,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.08925,122.354344
505,507,Aceros waldeni (Visayan Writhed Hornbill),2021-05-06,"Madalag, Aklan",Brgy. Maria Cristina,13,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.48737,122.22867
506,508,Rusa alfredi (Visayan Spotted Deer),2021-05-12,"Ibajay, Aklan",Brgy. Capataga,14,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.803872,122.171824
507,509,Sus cebifrons (Visayan Warty Pig),2021-05-19,"Malinao, Aklan",Brgy. Aparicio,10,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.641613,122.304316
508,510,Aceros waldeni (Visayan Writhed Hornbill),2021-05-07,"Lambunao, Iloilo",Brgy. Jayubo,11,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.103822,122.404359
509,511,Rusa alfredi (Visayan Spotted Deer),2021-05-13,"Lambunao, Iloilo",Brgy. Cabatangan,13,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.09102,122.355711
510,512,Sus cebifrons (Visayan Warty Pig),2021-05-20,"Lambunao, Iloilo",Brgy. Jayubo,7,Heard & Seen,Loss of Habitat,seen at the area of cabatangan,Bantay Gubat,11.103484,122.403895
511,513,Aceros waldeni (Visayan Writhed Hornbill),2021-06-10,"Madalag, Aklan",Brgy. Maria Cristina,19,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.490395,122.212476
512,514,Rusa alfredi (Visayan Spotted Deer),2021-06-16,"Ibajay, Aklan",Brgy. Capataga,12,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.803683,122.170901
513,515,Sus cebifrons (Visayan Warty Pig),2021-06-23,"Malinao, Aklan",Brgy. Aparicio,6,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.642797,122.304147
514,516,Aceros waldeni (Visayan Writhed Hornbill),2021-06-11,"Lambunao, Iloilo",Brgy. Cabatangan,16,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.091441,122.353915
515,517,Rusa alfredi (Visayan Spotted Deer),2021-06-17,"Lambunao, Iloilo",Brgy. Jayubo,11,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.103821,122.402695
516,518,Sus cebifrons (Visayan Warty Pig),2021-06-24,"Lambunao, Iloilo",Brgy. Cabatangan,5,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.089597,122.354164
517,519,Aceros waldeni (Visayan Writhed Hornbill),2021-07-08,"Madalag, Aklan",Brgy. Maria Cristina,19,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.499145,122.202865
518,520,Rusa alfredi (Visayan Spotted Deer),2021-07-14,"Ibajay, Aklan",Brgy. Capataga,13,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.803536,122.169484
519,521,Sus cebifrons (Visayan Warty Pig),2021-07-21,"Malinao, Aklan",Brgy. Aparicio,6,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.641654,122.30401
520,522,Aceros waldeni (Visayan Writhed Hornbill),2021-07-09,"Lambunao, Iloilo",Brgy. Jayubo,16,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.103746,122.401157
521,523,Rusa alfredi (Visayan Spotted Deer),2021-07-15,"Lambunao, Iloilo",Brgy. Cabatangan,14,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.08942,122.353221
522,524,Sus cebifrons (Visayan Warty Pig),2021-07-22,"Lambunao, Iloilo",Brgy. Jayubo,5,Heard & Seen,Loss of Habitat,seen at the area of cabatangan,Bantay Gubat,11.101801,122.401664
