,report_id,species_name,date_report,location,site,no_observation,mode_observation,threats,remarks,name_observers,coordinates_lat,coordinates_lng
279,281,Rusa alfredi (Visayan Spotted Deer),2018-11-12,"Lambunao, Iloilo",Brgy. Cabatangan,30,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.089845,122.342917
280,282,Sus cebifrons (Visayan Warty Pig),2018-11-19,"Lambunao, Iloilo",Brgy. Jayubo,8,Heard & Seen,Loss of Habitat,seen at the area of cabatangan,Bantay Gubat,11.095487,122.399517
281,283,Raflesia speciosa (Panay Rafflesia),2018-12-03,"Sibalom, Antique",Brgy. Imparayan,21,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.793299,122.110009
282,284,Aceros waldeni (Visayan Writhed Hornbill),2018-12-17,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",10,Seen,Hunting,Seen at BMS site,Bantay Gubat,10.803705,122.143036
283,285,Aceros waldeni (Visayan Writhed Hornbill),2018-12-04,"Madalag, Aklan",Brgy. Maria Cristina,11,Heard & Seen,Hunting,Seen at the tree tops,Cenro Staff,11.481309,122.191531
284,286,Rusa alfredi (Visayan Spotted Deer),2018-12-10,"Ibajay, Aklan",Brgy. Capataga,22,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.807296,122.172384
285,287,Sus cebifrons (Visayan Warty Pig),2018-12-17,"Malinao, Aklan",Brgy. Aparicio,10,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.640229,122.306631
286,288,Aceros waldeni (Visayan Writhed Hornbill),2018-12-04,"Lambunao, Iloilo",Brgy. Cabatangan,10,Heard & Seen,Hunting,Seen at the tree tops,Cenro Staff,11.089336,122.341196
287,289,Rusa alfredi (Visayan Spotted Deer),2018-12-10,"Lambunao, Iloilo",Brgy. Jayubo,30,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.106943,122.402697
288,290,Sus cebifrons (Visayan Warty Pig),2018-12-17,"Lambunao, Iloilo",Brgy. Cabatangan,8,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.091782,122.343085
289,291,Raflesia speciosa (Panay Rafflesia),2019-01-07,"Sibalom, Antique",Brgy. Imparayan,22,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.787313,122.104686
290,292,Aceros waldeni (Visayan Writhed Hornbill),2019-01-21,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",10,Seen,Hunting,Seen at BMS site,IP leaders,10.802553,122.143545
291,293,Aceros waldeni (Visayan Writhed Hornbill),2019-01-08,"Madalag, Aklan",Brgy. Maria Cristina,9,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.487702,122.205264
292,294,Rusa alfredi (Visayan Spotted Deer),2019-01-14,"Ibajay, Aklan",Brgy. Capataga,12,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.809375,122.172706
293,295,Sus cebifrons (Visayan Warty Pig),2019-11-14,"Malinao, Aklan",Brgy. Aparicio,15,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.644344,122.305897
294,296,Aceros waldeni (Visayan Writhed Hornbill),2019-01-08,"Lambunao, Iloilo",Brgy. Jayubo,12,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.100156,122.419853
295,297,Rusa alfredi (Visayan Spotted Deer),2019-01-15,"Lambunao, Iloilo",Brgy. Cabatangan,15,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.089167,122.358376
296,298,Sus cebifrons (Visayan Warty Pig),2019-01-15,"Lambunao, Iloilo",Brgy. Jayubo,14,Heard & Seen,Loss of Habitat,Seen in the area of Jayubo,Bantay Gubat,11.101637,122.409655
297,299,Raflesia speciosa (Panay Rafflesia),2019-02-04,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",22,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.803074,122.143547
298,300,Aceros waldeni (Visayan Writhed Hornbill),2019-02-18,"Sibalom, Antique",Brgy. Imparayan,13,Seen,Hunting,Seen at BMS site,Cenro Staff,10.794473,122.111127
299,301,Aceros waldeni (Visayan Writhed Hornbill),2019-02-06,"Madalag, Aklan",Brgy. Maria Cristina,11,Heard & Seen,Hunting,Seen at the tree tops,Cenro Staff,11.487345,122.213504
300,302,Rusa alfredi (Visayan Spotted Deer),2019-02-11,"Ibajay, Aklan",Brgy. Capataga,22,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.805763,122.172492
301,303,Sus cebifrons (Visayan Warty Pig),2019-02-19,"Malinao, Aklan",Brgy. Aparicio,15,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.644365,122.305966
302,304,Aceros waldeni (Visayan Writhed Hornbill),2019-02-07,"Lambunao, Iloilo",Brgy. Cabatangan,12,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.087317,122.359153
303,305,Rusa alfredi (Visayan Spotted Deer),2019-02-12,"Lambunao, Iloilo",Brgy. Jayubo,20,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.100547,122.405827
304,306,Sus cebifrons (Visayan Warty Pig),2019-02-20,"Lambunao, Iloilo",Brgy. Cabatangan,13,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.086394,122.358372
305,307,Raflesia speciosa (Panay Rafflesia),2019-03-04,"Sibalom, Antique",Brgy. Imparayan,21,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.790414,122.104075
306,308,Aceros waldeni (Visayan Writhed Hornbill),2019-03-18,"Sibalom, Antique",Brgy. Imparayan,13,Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,10.791445,122.107009
307,309,Aceros waldeni (Visayan Writhed Hornbill),2019-03-05,"Madalag, Aklan",Brgy. Maria Cristina,11,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.481309,122.22449
308,310,Rusa alfredi (Visayan Spotted Deer),2019-03-11,"Ibajay, Aklan",Brgy. Capataga,13,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.80467,122.173007
309,311,Sus cebifrons (Visayan Warty Pig),2019-03-18,"Malinao, Aklan",Brgy. Aparicio,13,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.642878,122.304396
310,312,Aceros waldeni (Visayan Writhed Hornbill),2019-03-06,"Lambunao, Iloilo",Brgy. Jayubo,13,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.102226,122.407332
311,313,Rusa alfredi (Visayan Spotted Deer),2019-03-12,"Lambunao, Iloilo",Brgy. Cabatangan,20,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.088746,122.356484
312,314,Sus cebifrons (Visayan Warty Pig),2019-03-19,"Lambunao, Iloilo",Brgy. Jayubo,11,Heard & Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,11.103574,122.405785
313,315,Raflesia speciosa (Panay Rafflesia),2019-04-01,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",21,Seen,Loss of Habitat,Seen at BMS site,Cenro Staff,10.803931,122.142845
314,316,Aceros waldeni (Visayan Writhed Hornbill),2019-04-15,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",12,Seen,Hunting,Seen at BMS site,Bantay Gubat,10.809703,122.143034
315,317,Aceros waldeni (Visayan Writhed Hornbill),2019-04-09,"Madalag, Aklan",Brgy. Maria Cristina,10,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.482655,122.213161
316,318,Rusa alfredi (Visayan Spotted Deer),2019-04-15,"Ibajay, Aklan",Brgy. Capataga,14,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.810625,122.1701
317,319,Sus cebifrons (Visayan Warty Pig),2019-04-22,"Malinao, Aklan",Brgy. Aparicio,8,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.642244,122.304912
318,320,Aceros waldeni (Visayan Writhed Hornbill),2019-04-10,"Lambunao, Iloilo",Brgy. Cabatangan,14,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.086725,122.35649
319,321,Rusa alfredi (Visayan Spotted Deer),2019-04-16,"Lambunao, Iloilo",Brgy. Jayubo,20,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.058278,122.351863
320,322,Sus cebifrons (Visayan Warty Pig),2019-04-23,"Lambunao, Iloilo",Brgy. Cabatangan,10,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.089251,122.354343
321,323,Raflesia speciosa (Panay Rafflesia),2019-05-06,"Sibalom, Antique",Brgy. Imparayan,21,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.793292,122.110001
322,324,Aceros waldeni (Visayan Writhed Hornbill),2019-05-20,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",13,Seen,Hunting,Seen at the tree tops,Cenro Staff,10.803075,122.143544
323,325,Aceros waldeni (Visayan Writhed Hornbill),2019-05-07,"Madalag, Aklan",Brgy. Maria Cristina,10,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.482655,122.213161
324,326,Rusa alfredi (Visayan Spotted Deer),2019-05-13,"Ibajay, Aklan",Brgy. Capataga,17,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.809075,122.170232
325,327,Sus cebifrons (Visayan Warty Pig),2019-05-22,"Malinao, Aklan",Brgy. Aparicio,6,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.641617,122.304314
326,328,Aceros waldeni (Visayan Writhed Hornbill),2019-05-08,"Lambunao, Iloilo",Brgy. Jayubo,11,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.103829,122.405356
327,329,Rusa alfredi (Visayan Spotted Deer),2019-05-14,"Lambunao, Iloilo",Brgy. Cabatangan,19,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.091024,122.355717
328,330,Sus cebifrons (Visayan Warty Pig),2019-05-23,"Lambunao, Iloilo",Brgy. Jayubo,7,Heard & Seen,Loss of Habitat,seen at the area of cabatangan,Bantay Gubat,11.103486,122.403896
329,331,Raflesia speciosa (Panay Rafflesia),2019-06-03,"Sibalom, Antique",Brgy. Imparayan,25,Seen,Loss of Habitat,Seen at BMS site,IP leaders,10.787315,122.104686
330,332,Aceros waldeni (Visayan Writhed Hornbill),2019-06-17,"Sibalom, Antique",Brgy. Imparayan,15,Seen,Hunting,Seen at the tree tops,Bantay Gubat,10.794472,122.11112
331,333,Aceros waldeni (Visayan Writhed Hornbill),2019-06-04,"Madalag, Aklan",Brgy. Maria Cristina,16,Seen,Hunting,Seen at the forest edges,Cenro Staff,11.485347,122.205607
332,334,Rusa alfredi (Visayan Spotted Deer),2019-06-10,"Ibajay, Aklan",Brgy. Capataga,15,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.81617,122.173492
333,335,Sus cebifrons (Visayan Warty Pig),2019-06-22,"Malinao, Aklan",Brgy. Aparicio,5,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.642797,122.304145
334,336,Aceros waldeni (Visayan Writhed Hornbill),2019-06-05,"Lambunao, Iloilo",Brgy. Cabatangan,14,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.091445,122.353913
335,337,Rusa alfredi (Visayan Spotted Deer),2019-06-11,"Lambunao, Iloilo",Brgy. Jayubo,18,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.103824,122.402696
336,338,Sus cebifrons (Visayan Warty Pig),2019-06-23,"Lambunao, Iloilo",Brgy. Cabatangan,8,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.089594,122.354166
337,339,Raflesia speciosa (Panay Rafflesia),2019-07-01,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",28,Seen,Loss of Habitat,Seen at BMS site,Cenro Staff,10.803932,122.142844
338,340,Aceros waldeni (Visayan Writhed Hornbill),2019-07-15,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",24,Seen,Hunting,Seen at BMS site,IP leaders,10.803979,122.143203
339,341,Aceros waldeni (Visayan Writhed Hornbill),2019-07-09,"Madalag, Aklan",Brgy. Maria Cristina,22,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.486356,122.214877
340,342,Rusa alfredi (Visayan Spotted Deer),2019-07-16,"Ibajay, Aklan",Brgy. Capataga,14,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.81575,122.174481
341,343,Sus cebifrons (Visayan Warty Pig),2019-07-22,"Malinao, Aklan",Brgy. Aparicio,5,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.641658,122.304014
342,344,Aceros waldeni (Visayan Writhed Hornbill),2019-07-10,"Lambunao, Iloilo",Brgy. Jayubo,18,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.103743,122.401155
343,345,Rusa alfredi (Visayan Spotted Deer),2019-07-17,"Lambunao, Iloilo",Brgy. Cabatangan,16,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.089424,122.353227
344,346,Sus cebifrons (Visayan Warty Pig),2019-07-23,"Lambunao, Iloilo",Brgy. Jayubo,6,Heard & Seen,Loss of Habitat,seen at the area of cabatangan,Bantay Gubat,11.101805,122.401668
345,347,Raflesia speciosa (Panay Rafflesia),2019-08-05,"Sibalom, Antique",Brgy. Imparayan,13,Seen,Loss of Habitat,Seen at BMS site,IP leaders,10.790515,122.104074
346,348,Aceros waldeni (Visayan Writhed Hornbill),2019-08-19,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",20,Seen,Hunting,Seen at the tree tops,Cenro Staff,10.803263,122.144555
347,349,Aceros waldeni (Visayan Writhed Hornbill),2019-08-06,"Madalag, Aklan",Brgy. Maria Cristina,21,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.495103,122.204577
348,350,Rusa alfredi (Visayan Spotted Deer),2019-08-12,"Ibajay, Aklan",Brgy. Capataga,18,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.811635,122.172508
349,351,Sus cebifrons (Visayan Warty Pig),2019-08-20,"Malinao, Aklan",Brgy. Aparicio,7,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.64279,122.305254
350,352,Aceros waldeni (Visayan Writhed Hornbill),2019-08-07,"Lambunao, Iloilo",Brgy. Cabatangan,26,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.086395,122.354425
351,353,Rusa alfredi (Visayan Spotted Deer),2019-08-14,"Lambunao, Iloilo",Brgy. Jayubo,16,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.100545,122.402865
352,354,Sus cebifrons (Visayan Warty Pig),2019-08-21,"Lambunao, Iloilo",Brgy. Cabatangan,8,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.085713,122.354855
353,355,Raflesia speciosa (Panay Rafflesia),2019-09-02,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",30,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.803931,122.142847
354,356,Aceros waldeni (Visayan Writhed Hornbill),2019-09-16,"Sibalom, Antique",Brgy. Imparayan,26,Seen,Hunting,Seen at the tree tops,Bantay Gubat,10.791446,122.107008
355,357,Aceros waldeni (Visayan Writhed Hornbill),2019-09-10,"Madalag, Aklan",Brgy. Maria Cristina,24,Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.48501,122.207667
356,358,Rusa alfredi (Visayan Spotted Deer),2019-09-16,"Ibajay, Aklan",Brgy. Capataga,13,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.809945,122.17058
357,359,Sus cebifrons (Visayan Warty Pig),2019-09-30,"Malinao, Aklan",Brgy. Aparicio,9,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.642963,122.304266
358,360,Aceros waldeni (Visayan Writhed Hornbill),2019-09-11,"Lambunao, Iloilo",Brgy. Jayubo,22,Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.100206,122.403816
359,361,Rusa alfredi (Visayan Spotted Deer),2019-09-17,"Lambunao, Iloilo",Brgy. Cabatangan,17,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.084535,122.354944
360,362,Sus cebifrons (Visayan Warty Pig),2019-09-29,"Lambunao, Iloilo",Brgy. Jayubo,16,Heard & Seen,Loss of Habitat,seen at the area of cabatangan,Bantay Gubat,11.099783,122.401156
361,363,Raflesia speciosa (Panay Rafflesia),2019-10-07,"Sibalom, Antique",Brgy. Imparayan,28,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.793295,122.110004
362,364,Aceros waldeni (Visayan Writhed Hornbill),2019-10-21,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",15,Seen,Hunting,Seen at BMS site,Cenro Staff,10.803474,122.142323
363,365,Aceros waldeni (Visayan Writhed Hornbill),2019-11-05,"Madalag, Aklan",Brgy. Maria Cristina,10,Heard & Seen,Hunting,Seen at the tree tops,Cenro Staff,11.484674,122.224834
364,366,Rusa alfredi (Visayan Spotted Deer),2019-10-22,"Ibajay, Aklan",Brgy. Capataga,23,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.810155,122.17213
365,367,Sus cebifrons (Visayan Warty Pig),2019-10-28,"Malinao, Aklan",Brgy. Aparicio,9,Heard & Seen,Hunting,Seen in the area of Aparicio,Bantay Gubat,11.641913,122.304146
366,368,Aceros waldeni (Visayan Writhed Hornbill),2019-10-16,"Lambunao, Iloilo",Brgy. Cabatangan,11,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.084117,122.354254
367,369,Rusa alfredi (Visayan Spotted Deer),2019-10-23,"Lambunao, Iloilo",Brgy. Jayubo,25,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.099363,122.402611
368,370,Sus cebifrons (Visayan Warty Pig),2019-10-29,"Lambunao, Iloilo",Brgy. Cabatangan,10,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.089595,122.344377
369,371,Raflesia speciosa (Panay Rafflesia),2019-11-04,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",14,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.803935,122.142843
370,372,Aceros waldeni (Visayan Writhed Hornbill),2019-11-18,"Sibalom, Antique",Brgy. Imparayan,9,Heard & Seen,Hunting,Seen at the tree tops,Bantay Gubat,10.787314,122.104685
371,373,Aceros waldeni (Visayan Writhed Hornbill),2019-11-12,"Madalag, Aklan",Brgy. Maria Cristina,8,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.485683,122.203891
372,374,Rusa alfredi (Visayan Spotted Deer),2019-11-19,"Ibajay, Aklan",Brgy. Capataga,22,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.81009,122.171053
373,375,Sus cebifrons (Visayan Warty Pig),2019-11-25,"Malinao, Aklan",Brgy. Aparicio,7,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.641025,122.307104
374,376,Aceros waldeni (Visayan Writhed Hornbill),2019-11-13,"Lambunao, Iloilo",Brgy. Jayubo,9,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.100547,122.400123
375,377,Rusa alfredi (Visayan Spotted Deer),2019-11-20,"Lambunao, Iloilo",Brgy. Cabatangan,26,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.089846,122.342918
376,378,Sus cebifrons (Visayan Warty Pig),2019-11-25,"Lambunao, Iloilo",Brgy. Jayubo,8,Heard & Seen,Loss of Habitat,seen at the area of cabatangan,Bantay Gubat,11.095488,122.399516
377,379,Raflesia speciosa (Panay Rafflesia),2019-12-02,"Sibalom, Antique",Brgy. Imparayan,27,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.793298,122.11001
378,380,Aceros waldeni (Visayan Writhed Hornbill),2019-12-16,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",8,Seen,Hunting,Seen at BMS site,Bantay Gubat,10.803706,122.143037
379,381,Aceros waldeni (Visayan Writhed Hornbill),2019-12-03,"Madalag, Aklan",Brgy. Maria Cristina,9,Heard & Seen,Hunting,Seen at the tree tops,Cenro Staff,11.485347,122.194964
380,382,Rusa alfredi (Visayan Spotted Deer),2019-12-09,"Ibajay, Aklan",Brgy. Capataga,24,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.80923,122.17359
381,383,Sus cebifrons (Visayan Warty Pig),2019-12-17,"Malinao, Aklan",Brgy. Aparicio,5,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.640226,122.306632
382,384,Aceros waldeni (Visayan Writhed Hornbill),2019-12-04,"Lambunao, Iloilo",Brgy. Cabatangan,8,Heard & Seen,Hunting,Seen at the forest edges,Cenro Staff,11.089335,122.341195
383,385,Rusa alfredi (Visayan Spotted Deer),2019-12-10,"Lambunao, Iloilo",Brgy. Jayubo,26,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.106944,122.402693
384,386,Sus cebifrons (Visayan Warty Pig),2019-12-18,"Lambunao, Iloilo",Brgy. Cabatangan,8,Heard & Seen,Hunting,seen at the area of cabatangan,Bantay Gubat,11.091783,122.343088
